2020-08-25T13:17:16.845-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T13:19:36.173-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T13:20:09.988-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Unsuccessful.
2020-08-25T13:20:22.671-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T13:29:07.533-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T13:29:51.742-04:00[America/New_York], User Name: user2, ID: 2,  Login Attempt: Successful.
2020-08-25T14:28:23.516-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T14:38:49.289-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T14:42:04.500-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T14:49:18.234-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T14:58:38.376-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:10:45.350-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:26:12.904-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:30:13.908-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:30:57.799-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:31:50.532-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:43:07.251-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:49:08.201-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T15:49:46.607-04:00[America/New_York], User Name: user2, ID: 2,  Login Attempt: Successful.
2020-08-25T16:21:30.539-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T16:27:13.877-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T16:29:25.501-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T16:54:05.710-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T16:55:52.291-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T16:56:11.381-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:02:20.565-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:19:08.014-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:19:34.757-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:21:54.760-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:22:21.684-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:35:19.865-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:35:40.913-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:36:51.867-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:38:53.835-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:50:28.025-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
2020-08-25T17:52:54.196-04:00[America/New_York], User Name: user, ID: 1,  Login Attempt: Successful.
